name,category,location,description,visitors,image,latitude,longitude
Gedung Bekas Kantor Direktorat Jenderal Kebudayaan,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.19734,106.839
Gedung Eks. Jaya Gas,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.1766,106.841
Jembatan Harmoni dan Patung Perunggu Dewa Hermus,Struktur,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.1675,106.821
Pasar Ikan Heksagon,Bangunan,"Kota Adm. Jakarta Utara, Prov. D.K.I. Jakarta",Bangunan memiliki langgam arsitektur indis ekletik. Bangunan menggunakan dinding bahan bata khas kolonial dengan atap perisai susun khas arsitektur lokal dengan stuktur bangunan dari balok kayu.;,0,,-6.12565,106.808
Gedung Sumpah Pemuda,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.1838,106.843
Gedung Kebangkitan Nasional,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17836,106.838
Gedung Pancasila,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.26556,106.863
Gedung BP 7 (Gedung Garuda),Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17505,106.832
Museum Muhammad Husni Thamrin,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.19389,106.846
Gereja Kristen Indonesia,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.18157,106.839
Gedung Balai Seni (Wisma Seni),Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17838,106.833
Gedung Perpustakaan Republik Indonesia,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.18111,106.827
Gedung Perusahaan Listrik Negara,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.18056,106.832
Gedung ex Ditjen Perhubungan Laut,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.175,106.831
Lapangan Merdeka dan Monumen Nasional,Struktur,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17361,106.827
Museum Taman Prasasti,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17222,106.819
Gedung SMU Budi Utomo,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.1669,106.838
Gedung SMK Budi Utomo,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16716,106.837
Gedung Mahkamah Agung (eks),Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16833,106.837
Gedung Departemen Keuangan RI,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.16917,106.837
Masjid Istiqlal,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.17059,106.831
Gedung SMP Negeri 1,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.19287,106.839
Gedung FK-UI Laboratorium Mikrobiologi,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.199,106.842
Rumah Kediaman Muhammad Hatta,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.21111,106.842
Rumah Sakit Cikini,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.1914,106.842
Gedung SD Manggarai Utara 1 dan 2,Bangunan,"Kota Adm. Jakarta Selatan, Prov. D.K.I. Jakarta",-,0,,-6.2128,106.856
Rumah (Alm) Brigjen D.I. Panjaitan,Bangunan,"Kota Adm. Jakarta Selatan, Prov. D.K.I. Jakarta",-,0,,-6.2425,106.802
Masjid Agung Al-Azhar,Bangunan,"Kota Adm. Jakarta Selatan, Prov. D.K.I. Jakarta",-,0,,-6.23472,106.799
Masjid Kuno Bandengan,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.13654,106.8
Gereja Katholik Santa Maria De Fatima,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.14394,106.812
Museum Wayang,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.13464,106.813
Makam Nani Wartabone,Situs,"Kab. Bone Bolango, Prov. Gorontalo",-,0,,0.538586,123.132
Makam Raja Blongkod,Situs,"Kab. Bone Bolango, Prov. Gorontalo",-,0,,0.614134,123.087
Kantor PT. PELNI,Bangunan,"Kota Gorontalo, Prov. Gorontalo",-,0,,0.53259,123.06
Kantor Pos Kota Gorontalo,Bangunan,"Kota Gorontalo, Prov. Gorontalo",-,0,,0.532372,123.06
Benteng Otanaha,Bangunan,"Kota Gorontalo, Prov. Gorontalo",-,0,,0.548902,123.008
Benteng Ulupahu,Bangunan,"Kota Gorontalo, Prov. Gorontalo",-,0,,0.549465,123.009
Benteng Otahia,Bangunan,"Kota Gorontalo, Prov. Gorontalo",-,0,,0.548272,123.008
Benteng Orange,Bangunan,"Kab. Gorontalo Utara, Prov. Gorontalo",-,0,,0.850556,122.914
Masjid Agung Pondok Tinggi,Bangunan,"Kota Sungai Penuh, Prov. Jambi",-,0,,-2.06607,101.394
Masjid Kuno Tanjung Pauh Ilir,Bangunan,"Kab. Kerinci, Prov. Jambi",-,0,,-2.1025,101.443
Masjid Kramat Koto Tua (Pulau Tengah),Bangunan,"Kab. Kerinci, Prov. Jambi",-,0,,-2.17,101.467
Masjid Kuno Lempur Mudik,Bangunan,"Kab. Kerinci, Prov. Jambi",-,0,,-2.2564,101.537
Masjid Kuno Lempur Tengah,Bangunan,"Kab. Kerinci, Prov. Jambi",-,0,,-2.25283,101.536
Rumah Tradisional Rantau Panjang,Bangunan,"Kab. Merangin, Prov. Jambi",-,0,,-1.84653,102.305
Situs Karangberahi,Situs,"Kab. Merangin, Prov. Jambi",-,0,,-2.0601,102.47
Klenteng Tuo Hok Tek,Bangunan,"Kota Jambi, Prov. Jambi",-,0,,-1.62944,103.635
Candi Teluk I,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47885,103.688
Candi Teluk II,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.48184,103.689
Candi Kembarbatu (terdiri dari Candi Induk dan Candi Perwara),Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47779,103.671
Candi Gumpung,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47719,103.667
Candi Tinggi,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47589,103.669
Candi Astano,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47452,103.679
Candi Kotomahligai,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47111,103.637
Candi Kedaton,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47754,103.644
Candi Gedong I dan II,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47593,103.659
Kolam Telagorajo,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47838,103.669
Situs Muara Jambi,Situs,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47779,103.668
Menapo-menapo terdiri dari 69 buah,Struktur,"Kab. Muaro Jambi, Prov. Jambi",-,0,,-1.47472,103.671
Situs Prasasti Ciaruteun,Situs,"Kab. Bogor, Prov. Jawa Barat",-,0,,-6.52776,106.691
Situs Kawasan Prasasti Tapak Gajah (Kebon Kopi I),Situs,"Kab. Bogor, Prov. Jawa Barat",-,0,,-6.52771,106.69
Situs Megalitik Gunung Padang,Situs,"Kab. Cianjur, Prov. Jawa Barat",-,0,,-6.99394,107.056
Situs Astana Gede Kawali,Situs,"Kab. Ciamis, Prov. Jawa Barat",-,0,,-7.18977,108.363
